,seeds1,seeds2,moves,player1,player2
58281,12,28,446422361314614126412233441556612232544556136,1062,5061
58282,14,34,44642232446221114334223314254456543354425125233452431655142615366,3270,5061
58283,2,25,4464223214454361453224364534611153116131546122216,3346,5061
58284,14,28,446422321445414454453121334432512612546114561312416154312254336141526613324154256,3346,5061
58292,25,16,446421614423314615134435423145533225524441146654364361122264433531122624521441526,5061,3531
58345,8,25,446326344311642115332415224123123321423346246435134134452254451363513455426,4998,5061
58359,14,25,446226154425433146443654465326544254315266544361523445641461262255411255244333635144532615326,3270,5061
58360,16,26,4462261514344145541613115141315233112621552436411522653661221353643552234233445,5495,5061
58362,25,11,44622611555245543551455421554255344516531122536153141242663263155226326,5061,246
58367,26,11,446221332625311363324265556613161546512541615134315613215432465,5061,1441
58387,17,26,446125121133244425334454236342511453653665142155334461516635124523514552344354651324324641155334422345344665115,4936,5061
58392,30,7,446121316146344623114334456143344512112454265114412231124413344556215141526,5061,6820
58771,13,26,44261113331614221423532463241241522362315554153345542541326156455433445516,1062,5061
58839,4,28,442523533354423554432111514654451255332436156,1260,5061
59461,14,26,436642316321321262344132442553442516553154415522534534456625566,246,5061
59512,17,26,43654231652445331154336152423145612645146553322655664,3270,5061
59530,24,24,4364361122466233445664435132244553254436251233625143566514213243546516,5061,246
59531,33,6,436435362142161142215324462536521345142536524152136,5061,2850
59550,10,25,4363363125444531421142566235665,246,5061
59598,25,13,436326314314114544312211442143633516124524354324361531665641615233544655366243546,5061,5458
59616,7,32,436325623446654631556644225345345546155443542556325142536,2068,5061
59634,25,19,436325322561412514154266336521161523423344256656624153324425133425366151416,5061,3712
59651,26,6,43632246353141224425435426256451433161221264235235234,5061,246
59672,27,4,43632161433541324534654334452656153613632,5061,1777
59745,26,12,4362253261113441344552165312461154215445136531614151612612665125425,5061,1952
60770,19,26,426642332521314226134522445531554425534435122132534554655445533445566,7907,5061
60785,14,28,426634314622131441361456445321543522426615161426456611563253452435416,7907,5061
60786,25,15,42663423661241154435114261213255461315615245233662351325344,5061,4997
60787,48,0,42663324453631614132436155443546152,5061,5672
60788,13,25,4266241532451345314466115645241145563,246,5061
60799,25,12,42653431114622624132445533461416423344156355221425335,5061,246
60844,13,25,4264363141154424431146135113461216141553241615135221544253655445566223143526526,5495,5061
60858,12,26,4264261534131242364413645663441161514452341554461314425336541524161516315141221334452651126,5495,5061
60869,26,15,42642611321314436621433542233116141516126122566132425,5061,3715
60942,25,3,426236234512443223341155265132536,5061,4784
60943,26,10,42623526444536631241643116151356244,5061,2955
60944,27,7,426235264263452131531351344216532153423346151415365243116,5061,2791
60952,25,19,426234662364366142342521614152464526541352215315161412235544553156351443562514524566251652316153614122153423453445615166413224133544263516516,5061,5714
60964,26,18,42623461263511614316143645116134455615461311556436451156125546615213342114512261415625133161514235432451324635136341522445335445566334466,5061,5762
60966,14,25,4262346125443146453142531151415336523614161335144536511243662314661516412213523,5495,5061
60967,12,25,426234612544314345344555445326554453355211322533644364564112513225233416151663541526216112234,2295,5061
60968,9,26,426234612541344526413255115546141155225145531146151612665514246553143262514,3346,5061
60981,9,28,4262346121142161423641331432542554352622134152332514253651124334456,1062,5061
60984,25,10,426234612111644132614226656642335536622314265516116,5061,2955
61020,26,5,42623365364161423511436156146536415161124334452,5061,1952
61405,25,7,42613145444521434534254652622354654131116124462143142231122452316,5061,1952
61406,28,7,42613145434532114221441661564236455,5061,1952
61414,11,26,4261251142216142541156116155162143153413512455432412215145543314354661441355335445226,7907,5061
61415,31,11,426123144122431426651142531446554622534554152636253651124152233415266,5061,7008
61416,5,35,426122634546422445554455355445512456526154335244325344553253215413551241342213461144324324352666416132441546234435166122135,5495,5061
61425,26,5,4261223614134131436114213551612625124,5061,2791
61944,26,14,42256234116441256146644532451445261356415223513455465213344526511266554423554435165142336,5061,2791
63062,26,10,41613463224335364135465635465324253612433551435223346,5061,2257
63064,16,26,4161346321614436624326443566552412623315164223455,5495,5061
63076,28,5,4161342643613544253161463212516,5061,1104
63106,28,8,4161314543612243354656455631545541335544552622652613623263514,5061,2068
63206,28,5,41612435133412426233441121423344566,5061,1952
64299,26,10,366422315116141224625146655223413625513254234416,5061,246
64348,30,3,366416121361342144324362556415536426,5061,1952
64365,26,19,36634361226541334226246526332544364556624155334211533611241532614116122334516,4998,5061
65234,10,25,36336211336641364314134215443145122554455233142661315342625544,246,5061
65661,9,25,36331614641344542114256632365524316443,1062,5061
65774,32,8,36326444331161144351245231614461556325344213513423423453446153651445562112532624,5061,5762
65828,33,2,3632564544453354363542561126544354665115,5061,1952
66108,26,15,363214614123264134264526552215236236651325465223641521524331614351621126,5061,3531
66117,26,11,36321461215322513253614662536611256352435443553446,5061,246
66131,13,25,36321413142464443354651255142543355445515544352314554234554324365514254354655446,246,5061
66389,7,26,362263263252141631145613143253445613255265223146,1260,5061
67739,25,11,34625651431153445612231246113413412233635142615564334124533622,5061,246
67766,27,14,34622326134334224433161511153261415345545542224334451155445332442334514253655364122136,5061,1402
69030,9,27,341613161432644463211325566412,1062,5061
70549,28,2,33242631263412143324663455432625426234314461516643,5061,7686
71187,25,19,3266235262435226334161443116441351255465143214214623552441615232416116,5061,246
71188,17,25,3266235215563355212532141145516554455234554661322265345265415266213445133161512625613225461154123544556226,2068,5061
71477,28,11,32624261332642334113413243564456435432432445566,5061,3412
75507,33,4,266312213143122331426251132543523465344551131526,5061,3412
75669,28,7,2653122141635223324354413344555464151325344556,5061,4997
75819,17,25,2643633536621115416311314561244561554431432224524356544354315466544354326441555342615366253642516415234251345243546526,6073,5061
75876,16,26,2643633433221112262413345242245541345543655124334452652413322143325443546511223344655166655344523443551426,5495,5061
75926,9,25,2643633411161423614214556456551332426222346126,7907,5061
76052,25,12,264363121155133352612235415466415125613322,5061,2734
76062,16,25,26436311521332615445246614221341314451654644511532152644152362335142536624334251661325,5495,5061
76108,7,31,2643355215212625542655415632254634456655621521524326216151343251425463223143526115,7907,5061
77131,26,11,262426644462164463346324523446316542335635465415341566155435435564266554236235413445,5061,3712
77152,25,3,26242664332466221442625422631425244352146324363342151421262215,5061,3712
77171,25,6,262426544331141613244256665551415531562446551233,5061,2955
77439,29,14,26242353641134566141546613142136456443516625143146225366141225,5061,3412
77744,26,11,262364262342243161112613564335536215142166113265132435,5061,3712
78054,25,19,262354624413613144516112544564516665132534516141556622152144316151425465132625143223413254435516,5061,2955
78062,26,11,262354621131611456632634555264122345635162315362415645225134,5061,2955
78065,28,12,262354261214534423526644533661161415243345546655114455224534435465231432213546,5061,2955
78086,30,10,262352623521413313461132155243552453631514251235244551324354652136,5061,2955
78275,27,5,262346141613361443541364331445546542554115615655461215546415263524554255344551152435425314225143566425,5061,6191
78320,26,17,262346125311431612532423544255562445135441223564425623125133445615166243551134422355443142615166251235244351324453651426,5061,2032
78349,26,14,26234462115144162314336123355143546255443543546511253344526514253146,5061,3712
78809,25,3,26231422143124634463345562153446,5061,4784
78816,28,3,26231412542334132432544565141532456326526124,5061,3412
78875,11,26,2623116211415312233344554455652435435564152125143523445536,1062,5061
78973,26,17,2622642311143123144312532534533544161514554323512625121613251446155631126651425334452651423314645142552433445615,5061,3712
79051,25,18,26225641566115333651651611415214562645142316142233621344653651425314161516221123633461516244536615,5061,2955
79341,27,15,2622463411564466514432544531426226136532514214556126,5061,7907
79417,26,10,262246141354132466544334466214261554612544536436,5061,1952
79481,12,26,262243611443126234565116143613161532215514645625566315411526135161326624,2068,5061
79572,25,7,26223651426253425336351542615413445125,5061,2791
79658,25,10,262234234411144334224334454433552445666443346155314453261465,5061,3715
82136,12,25,2462513334213212625133243243553144152235625146641516122533,5091,5061
82291,26,10,2443121443262244111433243156455443546651651332,5061,7907
82545,18,26,242623466354326634431551262541563462152451325345635124356241565445135234432554453662514325143223453461514253662514322341345243546615,3204,5061
82549,17,31,2426234612341164436224511425344115613324453215524461533544556126,5495,5061
83460,28,4,2412422314216431142344356645526614,5061,2791
85488,6,31,233634226311143314225544645213151425314452651325314456,1062,5061
87647,17,25,226643546131645643221221514352314261556613264412234152362465215244334416,5495,5061
88706,26,22,2262314615124132452355415223461435514253215445526,5061,3412
97371,25,14,166244326125413415661162556224534123613151634456421441536221534522315216,5061,504
98370,13,26,161426331264546344523445546136131612252426,5495,5061
100294,27,12,1524625145523541223415236151134554355661233415324,5061,2229
101289,26,2,142242312412342345443543225565543615621151232514435,5061,2229
102252,20,25,1316123614516336124153234513361262235362413452663342542336251165215244335441551223363464231241553443223453446251661513243243516612233441526516,1062,5061
107410,26,9,1126226252325142516364661325,5061,4759
